window_id,image_path,xmin,ymin,xmax,ymax,label
14_023_2_0093_20,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,810,342,890,422,0
14_023_2_0093_21,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,700,413,780,493,0
14_023_2_0093_22,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,610,349,690,429,0
14_023_2_0093_23,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,583,383,663,463,0
14_023_2_0093_24,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,587,295,667,375,0
14_023_2_0093_25,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,692,425,772,505,0
14_023_2_0093_26,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,379,421,459,501,0
14_023_2_0093_27,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,350,438,430,518,0
14_023_2_0093_28,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,310,382,390,462,0
14_023_2_0093_29,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,315,286,395,366,0
14_023_2_0093_30,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,277,220,357,300,0
14_023_2_0093_31,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,186,221,266,301,0
14_023_2_0093_32,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,125,154,205,234,0
14_023_2_0093_33,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,147,70,227,150,0
14_023_2_0093_34,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,142,144,222,224,0
14_023_2_0093_35,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,139,236,219,316,0
14_023_2_0093_36,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,177,260,257,340,0
14_023_2_0093_37,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,214,267,294,347,0
14_023_2_0093_38,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,193,277,273,357,0
14_023_2_0093_39,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,189,273,269,353,0
14_023_2_0093_40,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,184,308,264,388,0
14_023_2_0093_41,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,155,354,235,434,0
14_023_2_0093_42,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,119,400,199,480,0
14_023_2_0093_43,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,57,327,137,407,0
14_023_2_0093_44,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,64,389,144,469,0
14_023_2_0093_45,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,92,411,172,491,0
14_023_2_0093_46,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,134,403,214,483,0
14_023_2_0093_47,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,210,357,290,437,0
14_023_2_0093_48,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,168,410,248,490,0
14_023_2_0093_49,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,177,309,257,389,0
14_023_2_0093_50,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,124,299,204,379,0
14_023_2_0093_51,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,116,275,196,355,0
14_023_2_0093_52,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,37,266,117,346,0
14_023_2_0093_53,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,68,234,148,314,0
14_023_2_0093_54,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,72,231,152,311,0
14_023_2_0093_55,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,79,265,159,345,0
14_023_2_0093_56,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,80,353,160,433,0
14_023_2_0093_57,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,118,316,198,396,0
14_023_2_0093_58,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,127,364,207,444,0
14_023_2_0093_59,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,198,409,278,489,0
14_023_2_0093_60,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,282,419,362,499,0
14_023_2_0093_61,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,339,378,419,458,0
14_023_2_0093_62,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,343,383,423,463,0
14_023_2_0093_63,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,280,363,360,443,0
14_023_2_0093_64,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,244,287,324,367,0
14_023_2_0093_65,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,244,230,324,310,0
14_023_2_0093_66,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,198,154,278,234,0
14_023_2_0093_67,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,177,101,257,181,0
14_023_2_0093_68,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,206,151,286,231,0
14_023_2_0093_69,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,219,137,299,217,0
14_023_2_0093_70,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,276,55,356,135,0
14_023_2_0093_71,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,314,38,394,118,0
14_023_2_0093_72,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,335,53,415,133,0
14_023_2_0093_73,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,304,102,384,182,0
14_023_2_0093_74,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,252,108,332,188,0
14_023_2_0093_75,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,276,66,356,146,0
14_023_2_0093_76,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,227,29,307,109,0
14_023_2_0093_77,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,209,66,289,146,0
14_023_2_0093_78,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,129,52,209,132,0
14_023_2_0093_79,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,200,48,280,128,0
14_023_2_0093_80,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,191,165,271,245,0
14_023_2_0093_81,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,250,198,330,278,0
14_023_2_0093_82,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,303,170,383,250,0
14_023_2_0093_83,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,324,204,404,284,0
14_023_2_0093_84,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,309,236,389,316,0
14_023_2_0093_85,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,213,370,293,450,0
14_023_2_0093_86,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,278,379,358,459,0
14_023_2_0093_87,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,293,375,373,455,0
14_023_2_0093_88,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,202,338,282,418,0
14_023_2_0093_89,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,98,237,178,317,0
14_023_2_0093_90,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,35,229,115,309,0
14_023_2_0093_91,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,102,341,182,421,0
14_023_2_0093_92,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,113,198,193,278,0
14_023_2_0093_93,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,177,184,257,264,0
14_023_2_0093_94,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,188,26,268,106,0
14_023_2_0093_95,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,241,8,321,88,0
14_023_2_0093_96,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,354,99,434,179,0
14_023_2_0093_97,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,341,115,421,195,0
14_023_2_0093_98,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,349,115,429,195,0
14_023_2_0093_99,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,360,398,440,478,0
14_023_2_0093_100,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,711,358,791,438,1
14_055_5_0022_1,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,127,106,207,186,1
14_055_5_0022_2,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,140,104,220,184,1
14_055_5_0022_3,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,131,91,211,171,1
14_055_5_0022_4,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,118,82,198,162,1
14_055_5_0022_5,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,103,68,183,148,0
14_055_5_0022_6,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,91,54,171,134,0
14_055_5_0022_7,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,78,44,158,124,0
14_055_5_0022_8,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,70,33,150,113,0
14_055_5_0022_9,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,83,23,163,103,0
14_055_5_0022_10,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,80,51,160,131,0
14_055_5_0022_11,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,67,63,147,143,0
14_055_5_0022_12,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,68,78,148,158,0
14_055_5_0022_13,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,58,93,138,173,0
14_055_5_0022_14,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,48,109,128,189,0
14_055_5_0022_15,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,40,124,120,204,0
14_055_5_0022_16,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,36,140,116,220,0
14_055_5_0022_17,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,34,155,114,235,0
14_055_5_0022_18,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,31,171,111,251,0
14_055_5_0022_19,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,29,187,109,267,0
14_055_5_0022_20,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,31,202,111,282,0
14_055_5_0022_21,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,38,210,118,290,0
14_055_5_0022_22,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,32,222,112,302,0
14_055_5_0022_23,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,30,206,110,286,0
14_055_5_0022_24,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,74,247,154,327,0
14_055_5_0022_25,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,89,237,169,317,0
14_055_5_0022_26,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,99,221,179,301,0
14_055_5_0022_27,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,108,206,188,286,0
14_055_5_0022_28,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,122,207,202,287,0
14_055_5_0022_29,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,124,221,204,301,0
14_055_5_0022_30,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,115,237,195,317,0
14_055_5_0022_31,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,110,252,190,332,0
14_055_5_0022_32,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,103,268,183,348,0
14_055_5_0022_33,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,88,271,168,351,0
14_055_5_0022_34,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,90,284,170,364,0
14_055_5_0022_35,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,100,272,180,352,0
14_055_5_0022_36,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,140,220,220,300,0
14_055_5_0022_37,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,156,224,236,304,0
14_055_5_0022_38,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,170,237,250,317,0
14_055_5_0022_39,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,185,252,265,332,0
14_055_5_0022_40,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,200,255,280,335,0
14_055_5_0022_41,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,216,255,296,335,0
14_055_5_0022_42,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,232,255,312,335,0
14_055_5_0022_43,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,247,253,327,333,0
14_055_5_0022_44,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,263,252,343,332,0
14_055_5_0022_45,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,265,263,345,343,0
14_055_5_0022_46,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,249,272,329,352,0
14_055_5_0022_47,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,234,276,314,356,0
14_055_5_0022_48,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,218,280,298,360,0
14_055_5_0022_49,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,203,281,283,361,0
14_055_5_0022_50,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,187,286,267,366,0
14_055_5_0022_51,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,171,292,251,372,0
14_055_5_0022_52,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,113,196,193,276,0
14_055_5_0022_53,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,110,180,190,260,0
14_055_5_0022_54,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,109,165,189,245,0
14_055_5_0022_55,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,108,149,188,229,1
14_055_5_0022_56,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,111,134,191,214,1
14_055_5_0022_57,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,112,118,192,198,1
14_055_5_0022_58,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,124,106,204,186,1
14_055_5_0022_59,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,110,95,190,175,1
14_055_5_0022_60,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,96,88,176,168,1
14_055_5_0022_61,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,85,76,165,156,1
14_055_5_0022_62,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,63,70,143,150,0
14_055_5_0022_63,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,50,83,130,163,0
14_055_5_0022_64,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,143,108,223,188,1
14_055_5_0022_65,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,158,112,238,192,0
14_055_5_0022_66,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,169,106,249,186,0
14_055_5_0022_67,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,169,90,249,170,0
14_055_5_0022_68,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,169,75,249,155,0
14_055_5_0022_69,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,160,66,240,146,0
14_055_5_0022_70,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,167,67,247,147,0
14_055_5_0022_71,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,174,52,254,132,0
14_055_5_0022_72,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,187,50,267,130,0
14_055_5_0022_73,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,188,64,268,144,0
14_055_5_0022_74,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,198,69,278,149,0
14_055_5_0022_75,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,193,72,273,152,0
14_055_5_0022_76,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,176,67,256,147,0
14_055_5_0022_77,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,177,52,257,132,0
14_055_5_0022_78,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,173,68,253,148,0
14_055_5_0022_79,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,154,66,234,146,0
14_055_5_0022_80,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,198,44,278,124,0
14_055_5_0022_81,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,225,35,305,115,0
14_055_5_0022_82,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,225,19,305,99,0
14_055_5_0022_83,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\055\5\14_055_5_0022_processed.png,224,3,304,83,0
